Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Không rõ,20.0,Female,86.0,89.06,Karachi,Accepted
Rehan,22.0,Male,51.0,67.03,Lahore,Rejected
Farzana,22.0,Male,82.0,78.3,Multan,Accepted
Nida,18.0,Unknown,84.0,91.92,Quetta,Rejected
Rohail,20.0,Female,72.0,66.83,Multan,Rejected
Shehroz,23.0,Female,82.0,83.86,Karachi,Rejected
Imran,19.0,Female,72.0,64.88,Multan,Accepted
Farhan,22.0,Female,65.0,76.72,Multan,Rejected
Shehroz,24.0,Male,72.0,90.05,Karachi,Accepted
Asma,22.0,Female,81.0,68.86,Islamabad,Accepted
Tariq,19.0,Female,96.0,40.7,Rawalpindi,Rejected
Sara,22.0,Unknown,95.0,60.33,Islamabad,Rejected
Junaid,17.0,Male,56.0,93.36,Karachi,Rejected
Mehwish,21.0,Female,91.0,57.33,Rawalpindi,Accepted
Zunaira,20.0,Female,98.0,54.59,Quetta,Accepted
Hania,24.0,Female,83.0,97.93,Quetta,Rejected
Adeel,24.0,Male,71.0,74.65,Lahore,Accepted
Tariq,17.0,Female,82.0,67.09,Peshawar,Accepted
Qasim,17.0,Unknown,92.0,51.96,Lahore,Accepted
Maham,23.0,Male,94.0,87.05,Karachi,Rejected
Daniyal,24.0,Female,77.0,67.32,Quetta,Rejected
Lubna,22.0,Male,74.0,90.56,Rawalpindi,Accepted
Junaid,23.0,Female,94.0,61.93,Peshawar,Accepted
Muneera,23.0,Male,77.0,57.93,Karachi,Rejected
Bushra,18.0,Female,93.0,99.8,Islamabad,Rejected
Hania,20.0,Female,83.0,71.78,Islamabad,Accepted
Feroze,17.0,Male,91.0,71.17,Karachi,Rejected
Hassan,24.0,Unknown,79.0,75.67,Karachi,Accepted
Zunaira,19.0,Female,75.0,63.03,Peshawar,Rejected
Aliya,19.0,Male,79.0,91.85,Islamabad,Rejected
Shafiq,17.0,Male,78.0,82.49,Quetta,Rejected
Maaz,20.0,Male,58.0,96.83,Peshawar,Accepted
Ali,20.0,Male,71.0,80.91,Lahore,Rejected
Shahzad,24.0,Female,74.0,74.13,Multan,Rejected
Hafsa,20.0,Male,55.0,97.46,Quetta,Rejected
Asad,20.0,Female,82.0,67.42,Lahore,Accepted
Qasim,23.0,Female,83.0,66.51,Quetta,Accepted
Feroze,23.0,Female,51.0,92.36,Rawalpindi,Accepted
Sana,22.0,Female,91.0,84.08,Quetta,Rejected
Zarina,19.0,Female,81.0,71.72,Quetta,Rejected
Không rõ,23.0,Female,93.0,98.71,Karachi,Accepted
Hammad,24.0,Female,71.0,83.84,Lahore,Accepted
Không rõ,24.0,Female,50.0,87.0,Peshawar,Accepted
Không rõ,21.0,Unknown,86.0,95.38,Quetta,Accepted
Nashit,20.0,Male,89.0,84.64,Lahore,Accepted
Asad,20.0,Female,95.0,52.4,Rawalpindi,Rejected
Ali,19.0,Female,85.0,78.09,Quetta,Accepted
Bilal,17.0,Female,81.0,84.4,Islamabad,Rejected
Fatima,21.0,Female,98.0,50.86,Multan,Accepted
Maaz,17.0,Male,88.0,86.85,Lahore,Accepted
